% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.021	1	1	3	2	1	0	19	0	0	0
0.021	1	1	3	2	1	0	19	0	0	1
0.022	1	1	3	3	1	0	19	0	0	0
0.022	1	1	3	3	1	0	19	0	0	1
0.023	1	1	3	4	1	0	19	0	0	0
0.023	1	1	3	4	1	0	19	0	0	1
0.024	1	1	3	5	1	0	19	0	0	0
0.024	1	1	3	5	1	0	19	0	0	1
0.025	1	1	3	6	1	0	19	0	0	0
0.025	1	1	3	6	1	0	19	0	0	1
0.026	1	10	3	7	14	0	19	0	0	0
0.026	1	10	3	7	14	0	19	0	0	1
0.027	1	1	3	8	1	28	549	0	0	0
0.027	1	1	3	8	1	28	549	0	0	1
0.028	1	1	3	9	1	28	549	0	0	0
0.028	1	1	3	9	1	28	549	0	0	1
0.029	1	10	3	10	14	0	19	0	0	0
0.029	1	10	3	10	14	0	19	0	0	1
0.03	1	1	4	1	1	28	549	0	0	0
0.03	1	1	4	1	1	28	549	0	0	1
0.031	1	10	4	2	14	28	549	0	0	0
0.031	1	10	4	2	14	28	549	0	0	1
0.032	1	12	4	3	26	0	19	0	0	0
0.032	1	12	4	3	26	0	19	0	0	1
0.033	1	10	4	4	14	28	549	0	0	0
0.033	1	10	4	4	14	28	549	0	0	1
0.034	1	12	4	5	26	0	19	0	0	0
0.034	1	12	4	5	26	0	19	0	0	1
0.035	1	10	4	6	14	28	549	0	0	0
0.035	1	10	4	6	14	28	549	0	0	1
0.036	1	1	4	7	1	28	549	0	0	0
0.036	1	1	4	7	1	28	549	0	0	1
0.037	1	12	4	8	26	28	549	0	0	0
0.037	1	12	4	8	26	28	549	0	0	1
0.038	1	14	4	9	35	0	19	0	0	0
0.038	1	14	4	9	35	0	19	0	0	1
0.039	1	12	4	10	26	28	549	0	0	0
0.039	1	12	4	10	26	28	549	0	0	1
0.04	1	14	5	1	35	0	19	0	0	0
0.04	1	14	5	1	35	0	19	0	0	1
0.041	1	12	5	2	26	28	549	0	0	0
0.041	1	12	5	2	26	28	549	0	0	1
0.042	1	10	5	3	14	28	549	0	0	0
0.042	1	10	5	3	14	28	549	0	0	1
0.043	1	14	5	4	35	28	549	0	0	0
0.043	1	14	5	4	35	28	549	0	0	1
0.044	1	13	5	5	43	0	19	0	0	0
0.044	1	13	5	5	43	0	19	0	0	1
0.045	1	14	5	6	35	28	549	0	0	0
0.045	1	14	5	6	35	28	549	0	0	1
0.046	1	13	5	7	43	0	19	0	0	0
0.046	1	13	5	7	43	0	19	0	0	1
0.047	1	14	5	8	35	28	549	0	0	0
0.047	1	14	5	8	35	28	549	0	0	1
0.048	1	12	5	9	26	28	549	0	0	0
0.048	1	12	5	9	26	28	549	0	0	1
0.049	1	13	5	10	43	28	549	0	0	0
0.049	1	13	5	10	43	28	549	0	0	1
0.05	1	5	6	1	54	0	19	0	0	0
0.05	1	5	6	1	54	0	19	0	0	1
0.051	1	13	6	2	43	28	549	0	0	0
0.051	1	13	6	2	43	28	549	0	0	1
0.052	1	5	6	3	54	0	19	0	0	0
0.052	1	5	6	3	54	0	19	0	0	1
0.053	1	13	6	4	43	28	549	0	0	0
0.053	1	13	6	4	43	28	549	0	0	1
0.054	1	14	6	5	35	28	549	0	0	0
0.054	1	14	6	5	35	28	549	0	0	1
0.055	1	5	6	6	54	28	549	0	0	0
0.055	1	5	6	6	54	28	549	0	0	1
0.056	1	3	6	7	62	0	19	0	0	0
0.056	1	3	6	7	62	0	19	0	0	1
0.057	1	5	6	8	54	28	549	0	0	0
0.057	1	5	6	8	54	28	549	0	0	1
0.058	1	3	6	9	62	0	19	0	0	0
0.058	1	3	6	9	62	0	19	0	0	1
0.059	1	5	6	10	54	28	549	0	0	0
0.059	1	5	6	10	54	28	549	0	0	1
0.06	1	13	7	1	43	28	549	0	0	0
0.06	1	13	7	1	43	28	549	0	0	1
0.061	1	3	7	2	62	28	549	0	0	0
0.061	1	3	7	2	62	28	549	0	0	1
0.062	1	11	7	3	69	0	19	0	0	0
0.062	1	11	7	3	69	0	19	0	0	1
0.063	1	3	7	4	62	28	549	0	0	0
0.063	1	3	7	4	62	28	549	0	0	1
0.064	1	11	7	5	69	0	19	0	0	0
0.064	1	11	7	5	69	0	19	0	0	1
0.065	1	3	7	6	62	28	549	0	0	0
0.065	1	3	7	6	62	28	549	0	0	1
0.066	1	5	7	7	54	28	549	0	0	0
0.066	1	5	7	7	54	28	549	0	0	1
0.067	1	11	7	8	69	28	549	0	0	0
0.067	1	11	7	8	69	28	549	0	0	1
0.068	1	8	7	9	75	0	19	0	0	0
0.068	1	8	7	9	75	0	19	0	0	1
0.069	1	11	7	10	69	28	549	0	0	0
0.069	1	11	7	10	69	28	549	0	0	1
0.07	1	8	8	1	75	0	19	0	0	0
0.07	1	8	8	1	75	0	19	0	0	1
0.071	1	11	8	2	69	28	549	0	0	0
0.071	1	11	8	2	69	28	549	0	0	1
0.072	1	1	8	3	1	28	549	0	0	0
0.072	1	1	8	3	1	28	549	0	0	1
0.073	1	8	8	4	75	28	549	0	0	0
0.073	1	8	8	4	75	28	549	0	0	1
0.074	1	15	8	5	82	0	19	0	0	0
0.074	1	15	8	5	82	0	19	0	0	1
0.075	1	8	8	6	75	28	549	0	0	0
